employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,Salary
8724,Technology,region_26,Bachelors,m,sourcing,1,24,,1,1,0,77,60103.21
74430,HR,region_4,Bachelors,f,other,1,31,3,5,0,0,51,64575.84
72255,Sales & Marketing,region_13,Bachelors,m,other,1,31,1,4,0,0,47,39422.71
38562,Procurement,region_2,Bachelors,f,other,3,31,2,9,0,0,65,51045.11
64486,Finance,region_29,Bachelors,m,sourcing,1,30,4,7,0,0,61,52792.86
46232,Procurement,region_7,Bachelors,m,sourcing,1,36,3,2,0,0,68,97746.62
54542,Finance,region_2,Bachelors,m,other,1,33,5,3,1,0,57,80119.39
67269,Analytics,region_22,Bachelors,m,sourcing,2,36,3,3,0,0,85,41578.78
66174,Technology,region_7,Masters & above,m,other,1,51,4,11,0,0,75,44489.6
76303,Technology,region_22,Bachelors,m,sourcing,1,29,5,2,1,0,76,97363.53
60245,Sales & Marketing,region_16,Bachelors,m,sourcing,2,40,5,12,1,0,50,39252.38
42639,Sales & Marketing,region_17,Masters & above,m,sourcing,1,40,3,10,0,0,46,79650.82
30963,Sales & Marketing,region_4,Masters & above,f,other,1,34,3,4,0,0,52,86588.22
54055,Analytics,region_24,Bachelors,m,other,1,37,3,10,0,0,82,59082.57
42996,Operations,region_11,Bachelors,m,sourcing,1,30,5,6,1,0,58,91301.9
12737,Sales & Marketing,region_7,Bachelors,m,sourcing,1,31,4,4,1,0,47,44515.4
27561,Operations,region_27,Bachelors,f,sourcing,1,26,5,3,0,0,56,72554.88
26622,Sales & Marketing,region_17,Bachelors,m,sourcing,1,40,5,6,1,0,50,52923.21
31582,Procurement,region_7,Bachelors,f,other,1,49,3,7,1,0,64,47680.62
29793,Procurement,region_27,Bachelors,m,other,1,27,2,5,0,0,65,36560.41
72735,Sales & Marketing,region_9,Masters & above,m,sourcing,1,37,5,3,0,0,47,91333.9
5677,Technology,region_17,Bachelors,m,sourcing,1,25,,1,0,0,80,35317.87
60889,Technology,region_29,Masters & above,m,sourcing,1,30,1,3,0,0,83,66953.69
51498,Procurement,region_4,Masters & above,m,other,1,41,3,4,0,0,76,52499.44
8566,Finance,region_20,Bachelors,f,other,1,29,4,6,1,0,58,44240.27
53151,Operations,region_20,Bachelors,m,other,1,33,3,7,1,1,62,53070.82
16203,Sales & Marketing,region_17,Masters & above,m,sourcing,1,34,4,6,1,0,50,75285.32
61083,Analytics,region_13,Bachelors,m,sourcing,1,34,3,3,1,0,87,57262.2
74849,Operations,region_22,Bachelors,m,other,1,52,1,10,0,0,61,98369.62
13259,Sales & Marketing,region_34,Bachelors,m,sourcing,1,30,2,3,0,0,50,36106.12
72407,Analytics,region_2,Masters & above,m,sourcing,2,34,4,7,0,0,87,61638.6
65237,Sales & Marketing,region_2,Bachelors,m,sourcing,2,43,1,14,0,0,52,58593.41
67672,Technology,region_17,Bachelors,m,other,1,29,,1,1,0,85,80345.63
77460,Sales & Marketing,region_2,Bachelors,f,sourcing,1,35,3,3,1,0,52,94817.47
67317,Technology,region_22,Masters & above,m,other,4,40,3,12,0,0,77,82854.39
68788,Technology,region_23,Bachelors,m,sourcing,2,33,4,9,0,0,83,43831.75
36834,Sales & Marketing,region_8,Masters & above,m,other,1,30,3,2,1,0,55,88074.11
64281,Sales & Marketing,region_14,Bachelors,f,sourcing,2,42,1,3,1,0,46,49673.27
1822,Sales & Marketing,region_22,Bachelors,m,sourcing,3,29,1,3,0,0,51,37991.23
55325,Analytics,region_22,Bachelors,m,other,1,25,,1,0,0,88,75258.56
41432,Analytics,region_26,Bachelors,m,sourcing,1,26,5,4,1,0,90,56440.24
52061,Sales & Marketing,region_31,Bachelors,m,other,1,27,2,3,0,0,52,65868.72
39973,Operations,region_13,Bachelors,m,other,1,34,5,5,1,0,66,77256.91
42524,Sales & Marketing,region_31,Bachelors,m,sourcing,1,26,4,5,0,0,45,52012.21
7935,Technology,region_2,Bachelors,f,other,1,52,5,18,0,0,80,87903.51
49940,Sales & Marketing,region_7,Bachelors,m,other,1,26,5,2,1,0,54,79162.92
10059,Analytics,region_34,Bachelors,m,sourcing,3,27,3,2,0,0,83,99015.22
44159,Analytics,region_22,Masters & above,m,other,1,31,,1,1,0,84,50437.39
76691,Operations,region_23,Bachelors,m,other,1,33,4,8,1,0,59,86589.55
3720,Sales & Marketing,region_2,,m,sourcing,1,36,5,4,1,0,49,94813.46
5621,Technology,region_2,Masters & above,f,other,1,57,1,26,0,0,76,68968.39
24147,Sales & Marketing,region_2,Bachelors,m,other,2,46,1,7,0,0,49,94839.96
33997,Sales & Marketing,region_19,Bachelors,m,sourcing,1,30,2,3,0,0,50,30451.54
64076,Operations,region_2,Below Secondary,m,other,1,21,,1,1,0,56,89697.68
21379,Technology,region_4,Bachelors,m,sourcing,1,26,,1,1,0,85,36962.77
23714,Technology,region_7,Masters & above,m,sourcing,2,40,3,6,0,0,81,94864.14
19866,Technology,region_23,Bachelors,m,other,2,32,3,6,0,0,79,87952.33
4529,Finance,region_22,Masters & above,f,sourcing,1,36,3,2,1,0,61,94509.27
64703,Legal,region_2,Bachelors,m,other,1,28,2,2,0,0,62,67090.18
19649,Operations,region_22,Bachelors,f,sourcing,1,29,5,4,1,0,56,33552.59
6596,Sales & Marketing,region_2,Masters & above,m,sourcing,1,38,4,4,0,0,49,35323.64
7999,Technology,region_4,Bachelors,m,other,1,31,2,4,1,0,78,82806.6
4762,Sales & Marketing,region_22,Bachelors,m,other,1,29,1,4,0,0,46,40113.74
5387,Technology,region_5,Below Secondary,m,other,1,23,,1,0,0,81,63245.8
24620,Operations,region_26,Bachelors,m,sourcing,1,41,4,6,1,0,60,95411.82
57989,Procurement,region_2,Bachelors,m,other,1,29,5,2,1,0,74,58671.8
75619,Sales & Marketing,region_28,Bachelors,f,other,1,29,2,5,0,0,51,36020.54
26977,Operations,region_2,,m,sourcing,1,28,3,3,0,0,59,33092.62
65975,Analytics,region_29,Bachelors,m,other,2,28,5,4,1,0,84,37140.47
51302,Procurement,region_22,Bachelors,f,sourcing,1,31,1,6,0,0,64,95676.14
63714,Technology,region_4,Masters & above,m,sourcing,1,36,3,4,0,0,76,54109.46
70556,Operations,region_2,Bachelors,m,other,3,26,3,4,1,0,57,88944.93
70117,Technology,region_15,Bachelors,m,other,1,29,3,2,0,0,84,54055.25
51972,Analytics,region_7,Bachelors,m,sourcing,1,32,4,6,0,0,85,54756.63
60572,Sales & Marketing,region_2,Bachelors,f,other,1,40,1,10,0,0,50,57232.37
9548,Analytics,region_22,Bachelors,m,sourcing,2,38,4,13,0,0,87,90276.12
64,Analytics,region_4,Bachelors,m,other,1,42,5,11,1,0,80,89892
35510,Procurement,region_29,Masters & above,f,other,1,33,3,6,0,0,68,65575.02
10732,Analytics,region_2,Bachelors,m,other,1,31,5,5,1,0,92,92135.46
9214,Operations,region_3,Masters & above,f,sourcing,1,35,3,4,0,0,58,37453.4
10761,HR,region_2,Masters & above,f,sourcing,1,58,5,6,1,0,51,51338.07
32110,Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,2,4,0,0,48,46331.6
50038,HR,region_29,Bachelors,f,sourcing,1,33,3,8,1,0,49,68558.44
1555,Technology,region_7,Bachelors,m,sourcing,1,30,3,3,1,0,80,56332.62
21200,Technology,region_13,Masters & above,f,sourcing,1,43,3,12,0,0,79,71506.9
50380,HR,region_17,Bachelors,f,sourcing,1,31,4,7,0,0,48,97605.13
45009,Analytics,region_29,Bachelors,m,sourcing,1,32,3,5,1,0,86,74372.98
65450,Technology,region_2,Masters & above,f,sourcing,2,57,2,7,0,0,83,94408.04
77333,Operations,region_2,Bachelors,f,other,1,54,4,22,0,0,57,82596.57
2347,Analytics,region_15,,m,other,2,37,5,8,1,0,82,51290.15
8443,R&D,region_22,Masters & above,m,other,2,27,4,5,0,0,86,96445.23
39490,Operations,region_22,Masters & above,m,sourcing,1,44,3,10,0,0,55,51993.14
69077,Technology,region_24,Masters & above,f,other,1,37,3,10,0,0,81,67885.98
64652,Procurement,region_7,Masters & above,m,other,1,48,4,8,0,0,72,70059.94
5254,Sales & Marketing,region_25,Bachelors,f,other,1,31,3,6,1,0,43,38348.79
71131,Finance,region_22,Bachelors,f,other,1,28,5,5,1,0,60,36060.91
19620,Procurement,region_13,Masters & above,f,other,1,34,3,4,0,0,69,59939.36
41266,Sales & Marketing,region_14,Bachelors,f,sourcing,1,44,1,4,0,0,47,74228.18
11001,Sales & Marketing,region_12,Bachelors,m,sourcing,1,27,5,2,0,0,50,52215.48
28530,Operations,region_22,Masters & above,m,referred,1,45,3,4,1,0,57,51927.82
72481,Sales & Marketing,region_13,Bachelors,m,sourcing,1,24,4,2,0,0,48,66506.02
67417,Analytics,region_29,Bachelors,m,other,1,37,5,4,0,0,82,73093.48
51840,Analytics,region_22,Masters & above,m,other,1,27,,1,1,0,86,57972.41
43223,Legal,region_22,Bachelors,m,other,1,33,,1,1,0,59,89275.77
40287,Sales & Marketing,region_2,Masters & above,f,other,1,31,1,2,1,0,53,69991.75
29367,Sales & Marketing,region_7,Masters & above,m,sourcing,3,38,3,5,0,0,49,56700.48
36352,Procurement,region_22,Bachelors,m,other,1,32,5,2,1,0,72,64947.3
29681,Analytics,region_19,Bachelors,m,other,1,29,3,4,0,0,84,75152.02
30233,Sales & Marketing,region_15,Bachelors,m,other,1,37,4,9,0,0,50,36713.33
66601,Operations,region_13,Bachelors,m,other,2,42,3,12,0,0,60,71693.44
40276,R&D,region_22,Masters & above,m,sourcing,2,32,5,5,1,0,88,53176.56
1522,Operations,region_13,Bachelors,m,other,1,45,3,3,0,0,60,92374.75
17936,Analytics,region_29,Bachelors,m,other,1,28,3,7,0,0,83,55619.78
26270,Technology,region_15,Masters & above,m,sourcing,1,35,1,9,0,0,81,85187.23
6837,Sales & Marketing,region_4,Bachelors,m,other,3,28,3,5,0,0,48,51003.26
49665,Operations,region_8,Bachelors,f,other,1,37,1,3,1,0,59,76551.15
1908,Analytics,region_4,Masters & above,m,other,1,38,4,7,1,0,88,94935.35
6474,Procurement,region_2,Bachelors,f,sourcing,1,31,1,6,0,0,68,67339.29
27495,Operations,region_2,Masters & above,m,other,2,43,3,2,0,0,69,93327.21
24324,Operations,region_23,Bachelors,m,other,1,32,3,2,1,0,62,64803.55
14299,Procurement,region_2,Below Secondary,m,sourcing,1,24,4,2,1,0,69,56305.22
56246,Operations,region_2,Masters & above,m,other,1,52,5,8,0,0,59,74459.14
3901,Technology,region_13,Masters & above,m,other,1,38,5,2,0,0,88,66665.53
41566,Finance,region_20,Bachelors,m,other,1,35,3,4,0,0,59,72894.61
55735,Technology,region_31,Masters & above,m,other,1,39,5,4,0,1,81,82349.15
53627,Procurement,region_7,Bachelors,m,other,1,31,3,5,1,0,65,51582.31
62683,Operations,region_27,Bachelors,m,sourcing,1,37,3,5,0,0,57,41966.35
42719,Analytics,region_21,,m,sourcing,1,27,,1,0,0,80,80960.76
44948,Operations,region_30,Masters & above,f,other,1,37,5,9,1,0,56,78965.79
26037,Analytics,region_16,Bachelors,m,other,2,31,3,5,1,0,81,86317.06
30607,Analytics,region_22,Bachelors,m,sourcing,1,28,5,4,1,0,85,31284.97
46103,Technology,region_15,Bachelors,m,other,1,26,3,3,0,0,77,43679.74
6452,Finance,region_2,Masters & above,m,other,1,49,4,7,1,0,62,79187.3
47286,Procurement,region_13,Bachelors,f,other,1,34,3,9,0,0,68,85618.33
44117,Finance,region_4,Masters & above,f,other,1,38,3,2,0,0,58,61725.13
1367,Sales & Marketing,region_13,Masters & above,m,other,1,52,4,4,1,0,51,37976.2
26228,Sales & Marketing,region_22,Bachelors,m,sourcing,3,31,1,7,1,0,50,46653.8
65694,Technology,region_2,Bachelors,f,other,1,24,1,2,0,0,82,32381.57
2721,Analytics,region_22,,f,sourcing,2,26,5,3,1,0,86,68262.85
63901,HR,region_7,Bachelors,m,other,1,31,2,5,0,0,66,43027.56
4701,Technology,region_26,Bachelors,f,other,1,43,1,4,1,0,86,51601.25
35341,Procurement,region_4,Masters & above,m,other,4,37,3,6,0,0,68,38921.79
3203,Sales & Marketing,region_2,,m,sourcing,1,37,4,4,0,0,50,68647.01
10361,HR,region_2,Masters & above,m,other,1,37,5,9,1,0,53,31492
6572,Operations,region_29,Bachelors,m,other,1,32,5,8,1,0,58,81348.87
70408,Sales & Marketing,region_26,Bachelors,f,other,1,30,4,2,0,0,53,70315.49
11774,Procurement,region_20,Bachelors,f,other,1,30,5,4,1,0,71,80250.72
37873,Sales & Marketing,region_7,Bachelors,m,sourcing,1,27,4,3,0,0,50,68744.45
3886,Sales & Marketing,region_2,Bachelors,m,other,2,36,4,8,0,0,45,63418.66
23347,Technology,region_9,Bachelors,m,sourcing,4,30,3,2,0,0,78,72670.84
3034,Procurement,region_2,Masters & above,m,sourcing,1,49,4,19,0,0,73,58852.24
30137,Sales & Marketing,region_10,Masters & above,m,other,1,38,5,5,0,0,63,44781.61
52431,Sales & Marketing,region_30,Bachelors,m,other,1,29,3,6,0,0,51,53003.29
11061,Technology,region_33,Bachelors,m,other,1,48,3,6,1,0,81,46189.83
9706,Sales & Marketing,region_21,Bachelors,m,other,1,29,,1,0,0,53,62473.22
17607,Analytics,region_2,Masters & above,m,other,1,59,4,13,0,0,82,45741.74
64986,Operations,region_7,Bachelors,f,other,1,36,5,5,1,0,62,62612.93
8082,Finance,region_13,Bachelors,m,other,1,28,3,3,0,0,59,53423.53
20982,Procurement,region_22,Bachelors,m,other,2,27,4,2,1,0,68,65578.93
5794,Operations,region_2,Bachelors,m,sourcing,1,25,3,2,0,0,62,54935.86
69381,Sales & Marketing,region_26,Bachelors,m,other,1,30,5,6,1,0,52,92675.58
50176,HR,region_27,Below Secondary,m,other,1,23,,1,0,0,51,70483.18
1612,HR,region_15,Bachelors,f,sourcing,1,28,,1,0,0,50,79024
48923,Sales & Marketing,region_2,Bachelors,m,other,1,38,4,5,1,0,48,72968.02
50366,Sales & Marketing,region_22,Bachelors,m,sourcing,1,30,,1,1,0,45,82739.55
48813,HR,region_2,Bachelors,f,other,1,53,4,21,0,0,53,51272.32
5574,Sales & Marketing,region_8,Masters & above,m,other,1,35,3,8,0,0,45,77615.9
57601,HR,region_2,Bachelors,m,other,1,45,3,14,1,0,53,38274.32
26788,Sales & Marketing,region_26,,m,sourcing,1,40,1,8,0,0,51,65762.51
564,Operations,region_32,Bachelors,m,other,1,39,3,8,0,0,58,55184.66
3864,Analytics,region_13,Bachelors,m,other,1,46,4,6,0,0,82,54540.42
19598,Technology,region_5,Bachelors,m,sourcing,2,29,3,3,0,0,79,82106.81
19513,Analytics,region_6,Bachelors,m,other,1,28,,1,1,0,84,51245.66
74965,Technology,region_15,Bachelors,f,other,1,34,4,6,1,0,82,87947.68
42353,Sales & Marketing,region_9,Bachelors,m,other,1,23,,1,1,0,47,40869.9
13367,Sales & Marketing,region_14,Bachelors,m,other,1,38,5,3,0,0,51,82407.81
38556,HR,region_22,Masters & above,m,sourcing,1,32,3,5,0,0,52,67090.33
51344,Operations,region_26,Bachelors,m,other,1,33,3,5,1,0,58,40784.03
28320,Procurement,region_2,Bachelors,f,other,1,39,4,9,0,0,70,76446.47
56104,Procurement,region_4,Masters & above,m,other,4,36,3,6,0,0,71,88924.21
68882,Operations,region_22,Bachelors,m,sourcing,2,33,4,4,0,0,59,40259.43
75800,Sales & Marketing,region_2,Bachelors,f,other,1,29,4,6,1,0,45,71206.91
13223,R&D,region_7,Bachelors,f,other,1,32,3,5,0,0,85,42789.15
62740,Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,3,2,1,0,46,43013.23
67233,Analytics,region_32,Bachelors,m,sourcing,1,38,3,3,0,0,82,76686.73
49207,Procurement,region_22,Masters & above,m,sourcing,1,42,2,15,0,0,70,76379.23
19053,Operations,region_32,Bachelors,f,sourcing,1,30,5,6,0,0,60,43369.34
38096,Analytics,region_22,Bachelors,m,sourcing,2,28,,1,0,0,83,34906.69
46519,Sales & Marketing,region_14,Bachelors,m,other,1,36,4,6,0,0,47,66260.28
2111,Procurement,region_2,Bachelors,f,other,1,56,5,6,0,0,84,36064
69413,Sales & Marketing,region_14,Bachelors,f,other,1,30,3,5,0,0,51,39270.62
53827,Sales & Marketing,region_15,Bachelors,m,other,2,25,,1,0,0,50,81841.53
40064,HR,region_7,Bachelors,f,other,1,29,5,6,1,0,49,44361.4
33502,Sales & Marketing,region_7,Bachelors,m,other,1,36,2,7,0,0,47,38737.09
15182,Technology,region_14,Bachelors,f,other,1,39,3,4,0,0,80,50157.06
13593,Analytics,region_26,Bachelors,m,sourcing,1,30,5,4,1,0,84,82254.79
15613,R&D,region_2,Bachelors,m,other,2,42,3,9,0,0,84,58549.89
75751,Sales & Marketing,region_26,Bachelors,m,sourcing,2,37,4,9,0,0,49,86876.24
71625,Procurement,region_22,Bachelors,m,sourcing,1,31,2,2,1,0,66,75689.17
37763,Sales & Marketing,region_28,Masters & above,m,sourcing,1,32,4,6,1,0,48,59275.94
10812,Operations,region_15,Masters & above,m,other,1,40,5,11,1,0,59,89350
67357,Finance,region_2,Bachelors,m,sourcing,2,39,5,10,1,0,58,31868.41
49583,Sales & Marketing,region_26,Bachelors,m,other,1,40,4,10,1,0,47,63500.36
45428,HR,region_22,Bachelors,m,sourcing,1,23,1,2,0,0,45,79176.19
9978,Operations,region_2,Bachelors,m,sourcing,2,28,,1,0,0,60,74957.78
44266,Sales & Marketing,region_7,Bachelors,m,other,1,37,2,4,0,0,51,39576.74
47252,Finance,region_2,Below Secondary,m,sourcing,1,23,,1,1,0,58,31041.23
57884,Operations,region_2,Bachelors,m,sourcing,1,37,3,9,0,0,61,92895.69
24334,Legal,region_22,Bachelors,m,referred,1,29,5,3,1,0,54,90514.48
58892,Operations,region_32,Bachelors,f,other,1,38,4,10,0,0,55,32872.71
40799,Operations,region_22,Bachelors,m,other,2,39,4,10,0,0,57,58137.64
33879,Sales & Marketing,region_22,Masters & above,m,other,2,38,5,7,1,0,48,61705.96
24403,Procurement,region_13,Bachelors,m,sourcing,1,34,3,4,0,0,69,57062.31
51150,Procurement,region_15,Bachelors,f,other,1,48,5,21,0,0,69,97383.22
7722,R&D,region_26,Masters & above,m,other,1,29,5,4,0,0,82,49767.84
71271,Technology,region_13,Masters & above,f,other,1,37,4,7,1,0,81,69471.8
56772,Sales & Marketing,region_22,,m,other,2,23,,1,1,0,53,70410.07
65909,Operations,region_2,Bachelors,f,other,1,47,5,2,1,0,63,88021.98
8228,Sales & Marketing,region_14,Bachelors,m,sourcing,1,31,1,3,0,0,50,94924.92
52138,Analytics,region_16,Bachelors,m,other,1,28,3,4,0,0,83,53514.16
22999,Finance,region_28,Masters & above,f,other,2,32,4,6,1,0,57,45645.96
29196,Procurement,region_27,Bachelors,f,other,1,33,2,4,1,0,71,71881.26
10663,Legal,region_6,Bachelors,m,sourcing,2,28,,1,1,0,58,87687.36
65651,Legal,region_2,Bachelors,m,other,1,32,,1,1,0,62,83305.48
17973,Operations,region_6,Bachelors,m,sourcing,1,34,3,10,0,0,67,41396.03
10986,Sales & Marketing,region_7,Bachelors,m,sourcing,1,38,5,3,1,0,52,91842.33
19355,Technology,region_33,Bachelors,m,other,1,28,4,5,0,0,79,71029.96
75402,Analytics,region_24,Masters & above,m,other,1,34,3,3,0,0,87,50234.39
52587,Procurement,region_2,Bachelors,m,other,1,44,2,16,0,0,70,75262.23
41662,Procurement,region_20,Bachelors,m,sourcing,1,28,3,4,0,0,69,58625.22
73944,Operations,region_27,Bachelors,f,other,1,31,1,5,1,0,61,40387.93
3987,Analytics,region_29,Bachelors,m,other,1,34,2,5,0,0,84,45945.83
40057,Procurement,region_2,Below Secondary,m,other,1,22,3,2,1,0,71,79922.87
76195,Procurement,region_2,Bachelors,m,other,1,20,,1,0,0,76,99107.45
12411,Procurement,region_11,Bachelors,f,other,1,32,3,7,1,0,66,58722.73
15161,Technology,region_2,Masters & above,f,other,1,43,3,6,1,0,80,71401.83
59084,Analytics,region_2,Masters & above,f,other,1,42,5,13,1,0,85,78848.67
53857,HR,region_7,Bachelors,m,other,1,41,3,8,1,0,54,90711.05
42772,Technology,region_11,Bachelors,f,other,1,27,3,2,0,0,84,37213.42
5294,Finance,region_2,Bachelors,m,sourcing,1,41,4,9,0,0,56,31240.57
56439,Technology,region_23,Bachelors,m,other,1,26,5,2,1,0,76,51777.54
29998,Analytics,region_34,Bachelors,m,other,1,35,5,10,1,0,85,66853.08
76599,Sales & Marketing,region_28,Bachelors,f,sourcing,1,28,1,3,0,0,58,54604.07
27424,HR,region_2,Bachelors,f,sourcing,1,50,1,9,0,0,46,87826.86
45605,Sales & Marketing,region_22,Masters & above,m,other,1,29,,1,1,1,46,59817.04
75833,Sales & Marketing,region_7,Masters & above,m,other,2,37,1,10,0,0,49,86944.46
57068,Operations,region_4,Bachelors,m,other,2,35,3,8,1,0,64,44616.58
70129,Sales & Marketing,region_28,Masters & above,f,other,1,29,4,4,0,0,51,79838.5
14733,Sales & Marketing,region_6,Bachelors,f,sourcing,1,36,5,8,0,0,47,73642.55
71886,Technology,region_5,Below Secondary,m,other,1,22,,1,1,0,79,55230.78
7561,Finance,region_2,Bachelors,m,other,1,36,3,3,0,0,55,68725.49
59522,Operations,region_22,Bachelors,f,other,2,37,4,2,0,0,71,53439.18
44299,Analytics,region_29,Bachelors,m,other,1,30,3,4,0,0,83,65900.51
29220,Finance,region_2,Bachelors,m,sourcing,2,26,2,2,0,0,54,98299.72
15869,Procurement,region_13,Bachelors,f,sourcing,2,28,5,3,1,0,68,43906.67
51270,Operations,region_15,Bachelors,m,other,1,49,4,9,0,0,61,78923.08
14778,Analytics,region_22,,m,other,1,29,5,2,1,0,84,90898.07
19212,Procurement,region_21,Masters & above,m,other,1,35,5,7,1,0,70,73389.99
70890,Technology,region_24,Bachelors,m,other,1,32,2,6,0,0,90,84707.71
31183,Sales & Marketing,region_28,Masters & above,f,sourcing,1,42,3,4,0,0,54,53055.87
46628,Technology,region_4,Masters & above,m,other,1,37,4,5,0,0,76,37907.11
44670,Sales & Marketing,region_29,Bachelors,m,other,1,28,5,2,0,0,45,72247.93
70734,Procurement,region_15,Bachelors,m,other,1,38,4,2,1,1,97,49654.55
47051,Analytics,region_2,Bachelors,m,sourcing,2,39,4,5,1,0,86,58071.19
17760,Analytics,region_27,Bachelors,m,other,1,28,5,2,1,0,87,42967.64
